3,Great One,24-10-2015 01:04,24-10-2015 01:04,1,1
3,Nice,25-10-2015 01:04,25-10-2015 01:04,2,2
4,Great One,26-10-2015 01:04,26-10-2015 01:04,3,3
5,Super,27-10-2015 01:04,27-10-2015 01:04,4,4
3,Great One,29-10-2015 01:04,29-10-2015 01:04,5,5
4,Super,30-10-2015 01:04,30-10-2015 01:04,6,6
5,Nice,31-10-2015 01:04,31-10-2015 01:04,7,7
1,Great One,1/11/2015 1:04,1/11/2015 1:04,8,8
3,Super,2/11/2015 1:04,2/11/2015 1:04,9,9
4,Nice,3/11/2015 1:04,3/11/2015 1:04,10,10
4,Great One,4/11/2015 1:04,4/11/2015 1:04,11,11
2,Super,5/11/2015 1:04,5/11/2015 1:04,12,12
1,Nice,6/11/2015 1:04,6/11/2015 1:04,13,13
3,Great One,7/11/2015 1:04,7/11/2015 1:04,14,14
4,Super,8/11/2015 1:04,8/11/2015 1:04,15,15
4,Nice,9/11/2015 1:04,9/11/2015 1:04,16,16
5,Great One,10/11/2015 1:04,10/11/2015 1:04,17,17
3,Super,11/11/2015 1:04,11/11/2015 1:04,18,18
2,Nice,12/11/2015 1:04,12/11/2015 1:04,19,19
3,Great One,13-11-2015 01:04,13-11-2015 01:04,20,20
4,Super,14-11-2015 01:04,14-11-2015 01:04,21,21
5,Nice,15-11-2015 01:04,15-11-2015 01:04,22,22
3,Great One,16-11-2015 01:04,16-11-2015 01:04,23,23
4,Super,17-11-2015 01:04,17-11-2015 01:04,24,24
5,Nice,18-11-2015 01:04,18-11-2015 01:04,25,25
3,Great One,19-11-2015 01:04,19-11-2015 01:04,26,26
3,Super,20-11-2015 01:04,20-11-2015 01:04,27,27
2,Nice,21-11-2015 01:04,21-11-2015 01:04,28,28
2,Great One,22-11-2015 01:04,22-11-2015 01:04,29,29
1,Super,23-11-2015 01:04,23-11-2015 01:04,30,30
2,Nice,24-11-2015 01:04,24-11-2015 01:04,31,31
4,Great One,25-11-2015 01:04,25-11-2015 01:04,32,32
